2026-09-15 08:40:19 | NOT_FOUND  | CACHE_NEGA | Wiarołomni 1 (odc. 4)                    | Wiarołomni                               | P:-   B:-   L:-   M:-  
2026-09-15 08:40:19 | NOT_FOUND  | CACHE_NEGA | Premierowa jazda: Rafał Kowalski         | Premierowa jazda: Rafał Kowalski         | P:-   B:-   L:-   M:-  
2026-09-15 08:40:26 | NOT_FOUND  | TMDB_NO_MA | Bestia 2 (odc. 3)                        | Bestia                                   | P:-   B:-   L:-   M:-  
2026-09-15 08:40:29 | NOT_FOUND  | TMDB_NO_MA | Racers                                   | Racers                                   | P:-   B:-   L:-   M:-  
2026-09-15 08:40:41 | NOT_FOUND  | TMDB_NO_MA | Bajer z Bel-Air 3                        | Bajer z Bel-Air 3                        | P:-   B:-   L:-   M:-  
2026-09-15 08:40:41 | NOT_FOUND  | TMDB_NO_MA | Prawo Agaty 6                            | Prawo Agaty 6                            | P:-   B:-   L:-   M:-  
2026-09-15 08:40:41 | NOT_FOUND  | TMDB_NO_MA | Pełniejsza chata 2                       | Pełniejsza chata 2                       | P:-   B:-   L:-   M:-  
2026-09-15 08:40:43 | NOT_FOUND  | TMDB_NO_MA | Che Dio ci aiuti - Vite parallele ep.7   | Che Dio ci aiuti - Vite parallele        | P:-   B:-   L:-   M:-  
2026-09-15 08:40:43 | NOT_FOUND  | TMDB_NO_MA | Che Dio ci aiuti - Donne e motori ep.8   | Che Dio ci aiuti - Donne e motori        | P:-   B:-   L:-   M:-  
2026-09-15 08:40:44 | NOT_FOUND  | ELCIN_NO_M | Un posto al sole 30 - p.142              | Un posto al sole 30                      | P:-   B:-   L:-   M:-  
2026-09-15 08:40:46 | NOT_FOUND  | TMDB_NO_MA | Jasnowidzka i to, co niewidzialne        | Jasnowidzka i to, co niewidzialne        | P:-   B:-   L:-   M:-  
2026-09-15 08:40:52 | NOT_FOUND  | TMDB_NO_MA | Zbrodnia w Luberon                       | Zbrodnia w Luberon                       | P:-   B:-   L:-   M:-  
2026-09-15 08:40:52 | NOT_FOUND  | TMDB_NO_MA | Morderstwo w Sainte Baume                | Morderstwo w Sainte Baume                | P:-   B:-   L:-   M:-  
2026-09-15 08:40:52 | NOT_FOUND  | TMDB_NO_MA | Kasandra 4: odc.1                        | Kasandra                                 | P:-   B:-   L:-   M:-  
2026-09-15 08:40:53 | NOT_FOUND  | TMDB_NO_MA | Motyw 2 (odc. 8)                         | Motyw                                    | P:-   B:-   L:-   M:-  
2026-09-15 08:40:56 | NOT_FOUND  | TMDB_NO_MA | Brytyjskie fabryki 10: odc.2             | Brytyjskie fabryki                       | P:-   B:-   L:-   M:-  
2026-09-15 08:40:57 | NOT_FOUND  | TMDB_NO_MA | Poirot 7                                 | Poirot 7                                 | P:-   B:-   L:-   M:-  
2026-09-15 08:41:02 | NOT_FOUND  | TMDB_NO_MA | Rodzina Steedów - część 2                | Rodzina Steedów - część 2                | P:-   B:-   L:-   M:-  
2026-09-15 08:41:05 | NOT_FOUND  | TMDB_NO_MA | Goldbergowie 7 (odc. 10)                 | Goldbergowie                             | P:-   B:-   L:-   M:-  
2026-09-15 08:41:06 | NOT_FOUND  | TMDB_NO_MA | Sniff, pies bohater                      | Sniff, pies bohater                      | P:-   B:-   L:-   M:-  
2026-09-15 08:41:06 | NOT_FOUND  | TMDB_NO_MA | Pies z armii                             | Pies z armii                             | P:-   B:-   L:-   M:-  
2026-09-15 08:41:08 | NOT_FOUND  | TMDB_NO_MA | Malowana pustynia                        | Malowana pustynia                        | P:-   B:-   L:-   M:-  
2026-09-15 08:41:08 | NOT_FOUND  | TMDB_NO_MA | Dama z burleski                          | Dama z burleski                          | P:-   B:-   L:-   M:-  
2026-09-15 08:41:13 | NOT_FOUND  | CACHE_NEGA | Przyjaciele 9: odc.21                    | Przyjaciele                              | P:-   B:-   L:-   M:-  
2026-09-15 08:41:13 | NOT_FOUND  | CACHE_NEGA | Przyjaciele 9: odc.22                    | Przyjaciele                              | P:-   B:-   L:-   M:-  
2026-09-15 08:41:25 | NOT_FOUND  | TMDB_NO_MA | Widok za miliony: odc.13                 | Widok za miliony                         | P:-   B:-   L:-   M:-  
2026-09-15 08:41:25 | NOT_FOUND  | TMDB_NO_MA | Widok za miliony - Ameryka 2: odc.1      | Widok za miliony - Ameryka               | P:-   B:-   L:-   M:-  
2026-09-15 08:41:27 | NOT_FOUND  | TMDB_NO_MA | Marlow: klub zbrodni 1 (odc. 3)          | Marlow: klub zbrodni                     | P:-   B:-   L:-   M:-  
2026-09-15 08:42:18 | NOT_FOUND  | TMDB_NO_MA | Pan Kleks w kosmosie: Porwanie Agnieszki | Pan Kleks w kosmosie: Porwanie Agnieszki | P:-   B:-   L:-   M:-  
2026-09-15 08:42:21 | NOT_FOUND  | TMDB_NO_MA | Robert Makłowicz: Polska - Międzyzdroje  | Robert Makłowicz: Polska - Międzyzdroje  | P:-   B:-   L:-   M:-  
2026-09-15 08:42:21 | NOT_FOUND  | TMDB_NO_MA | Pyszne dania w 10 minut z Julią Oleś 2:  | Pyszne dania w 10 minut z Julią Oleś     | P:-   B:-   L:-   M:-  
2026-09-15 08:42:23 | NOT_FOUND  | TMDB_NO_MA | Pastorka                                 | Pastorka                                 | P:-   B:-   L:-   M:-  
2026-09-15 08:42:23 | NOT_FOUND  | TMDB_NO_MA | Statek Marzeń - Mauritius                | Statek Marzeń - Mauritius                | P:-   B:-   L:-   M:-  
2026-09-15 08:42:25 | NOT_FOUND  | TMDB_NO_MA | Kabaretowy szał 4: Ciach: odc.6          | Kabaretowy szał 4: Ciach                 | P:-   B:-   L:-   M:-  
2026-09-15 08:42:25 | NOT_FOUND  | TMDB_NO_MA | Kabaretowy szał 4: Chyba: odc.8          | Kabaretowy szał 4: Chyba                 | P:-   B:-   L:-   M:-  
2026-09-15 08:42:25 | NOT_FOUND  | TMDB_NO_MA | Kabaretowy szał 4: Jurki: odc.7          | Kabaretowy szał 4: Jurki                 | P:-   B:-   L:-   M:-  
2026-09-15 08:42:27 | NOT_FOUND  | TMDB_NO_MA | Sidła namiętności                        | Sidła namiętności                        | P:-   B:-   L:-   M:-  
2026-09-15 08:42:27 | NOT_FOUND  | TMDB_NO_MA | Miłość w Cabo 1 (odc. 23)                | Miłość w Cabo                            | P:-   B:-   L:-   M:-  
2026-09-15 08:42:30 | NOT_FOUND  | TMDB_NO_MA | Policjanci z sąsiedztwa 4 (odc. 24)      | Policjanci z sąsiedztwa                  | P:-   B:-   L:-   M:-  
2026-09-15 08:42:30 | NOT_FOUND  | TMDB_NO_MA | Tłit: odc.1555                           | Tłit                                     | P:-   B:-   L:-   M:-  
2026-09-15 08:42:38 | NOT_FOUND  | TMDB_NO_MA | Gliniarze 7 (odc. 9)                     | Gliniarze                                | P:-   B:-   L:-   M:-  
2026-09-15 08:42:46 | NOT_FOUND  | TMDB_NO_MA | Ida                                      | Ida                                      | P:-   B:-   L:-   M:-  
2026-09-15 08:42:47 | NOT_FOUND  | TMDB_NO_MA | Odprawa przedmeczowa: Zapowiedź 9. kolej | Odprawa przedmeczowa: Zapowiedź 9. kolej | P:-   B:-   L:-   M:-  
2026-09-15 08:42:48 | NOT_FOUND  | TMDB_NO_MA | Wypasiona kuchnia: odc.16                | Wypasiona kuchnia                        | P:-   B:-   L:-   M:-  
2026-09-15 08:42:48 | NOT_FOUND  | TMDB_NO_MA | Trudne sprawy 15 (odc. 2)                | Trudne sprawy                            | P:-   B:-   L:-   M:-  
2026-09-15 08:42:50 | NOT_FOUND  | CACHE_NEGA | Gliniarze: odc.1044                      | Gliniarze                                | P:-   B:-   L:-   M:-  
